month,date,vol,vol_unadj,credit_score_group
170,2014-03,4300420788.552577,4300548496.969698,Prime
170,2014-03,473695745.3708902,509508928.7878785,Subprime
171,2014-04,1276933412.10514,1227121457.575758,Near-prime
171,2014-04,18972551093.35143,18784887533.83838,Super-prime
171,2014-04,248433163.4541556,226811365.1515151,Deep subprime
171,2014-04,4630829554.960438,4633820112.626263,Prime
171,2014-04,498637075.604176,459051161.1111111,Subprime
172,2014-05,1285928032.360502,1303112104.545455,Near-prime
172,2014-05,19172089821.15898,19074841202.52525,Super-prime
172,2014-05,266308564.0957366,274382382.8282828,Deep subprime
172,2014-05,4392780392.342904,4469692073.737375,Prime
172,2014-05,480487314.9991956,483586180.8080809,Subprime
173,2014-06,1306364215.341459,1363181946.464646,Near-prime
173,2014-06,17919672013.94461,17595909786.36362,Super-prime
173,2014-06,265152441.7298146,293374423.7373737,Deep subprime
173,2014-06,4245642093.699143,4291664055.555555,Prime
173,2014-06,488455536.0115498,521755258.0808085,Subprime
174,2014-07,1369476217.151168,1397183048.484849,Near-prime
174,2014-07,19238994221.5469,20064225112.12121,Super-prime
174,2014-07,289631503.6393183,280877715.1515152,Deep subprime
174,2014-07,5056413626.701517,5399112936.363638,Prime
174,2014-07,577932880.4270899,560465844.4444445,Subprime
175,2014-08,1333541148.92825,1381001827.777778,Near-prime
175,2014-08,18170112674.38194,18564865905.0505,Super-prime
175,2014-08,281872661.761803,291380039.3939394,Deep subprime
175,2014-08,4299071224.813893,4463356828.787877,Prime
175,2014-08,533369116.6318142,552244145.4545457,Subprime
176,2014-09,1350677359.888219,1366085512.121212,Near-prime
176,2014-09,18088684263.29742,17411422918.68687,Super-prime
176,2014-09,295105259.1405276,292061068.1818182,Deep subprime
176,2014-09,4322964732.971357,4205265712.121212,Prime
176,2014-09,549986248.1507756,566659442.9292929,Subprime
177,2014-10,1356093235.063287,1378060263.131313,Near-prime
177,2014-10,17619380416.02916,17984362447.47476,Super-prime
177,2014-10,305820003.0514182,292449777.2727274,Deep subprime
177,2014-10,4322283548.041418,4432423612.626264,Prime
177,2014-10,558352505.596495,549615763.6363636,Subprime
178,2014-11,1393421046.672624,1520114551.515151,Near-prime
178,2014-11,17983459765.25356,19403293845.45454,Super-prime
178,2014-11,293052344.5645568,303763739.8989898,Deep subprime
178,2014-11,4427077449.018267,4668429920.707071,Prime
178,2014-11,533708537.5565878,582805208.5858587,Subprime
179,2014-12,1472453233.006432,1522173252.525253,Near-prime
179,2014-12,19087620597.47921,19522092441.41414,Super-prime
179,2014-12,319969719.350228,342597780.8080808,Deep subprime
179,2014-12,4748169051.168965,4704297298.989899,Prime
179,2014-12,579341380.6863745,631254144.4444445,Subprime
180,2015-01,1463551428.986508,1270096820.70707,Near-prime
180,2015-01,18872415245.34491,18423298426.26262,Super-prime
180,2015-01,356844498.7068449,299506607.0707072,Deep subprime
180,2015-01,4559188630.83695,4285481244.444442,Prime
180,2015-01,629880360.5155759,535392984.3434342,Subprime
181,2015-02,1493844581.568513,1287363404.040404,Near-prime
181,2015-02,18460177627.35181,16447788913.63637,Super-prime
181,2015-02,326393303.2553263,298487929.7979798,Deep subprime
181,2015-02,4587170071.144753,4036209753.53535,Prime
